Term,Definition,Grammatical Label,Topic,URL

GIIP,"Abbreviation for gas initially in place, the volume of gas in a reservoir before production.",Noun,General Terms,https://glossary.slb.com/en/terms/g/giip
knot,"A unit of speed used for marine and aerial navigation. A knot is one nautical mile per hour. In SI units, the knot is equivalent to exactly 1,852/3,600 m/s, which is approximately 0.5144 m/s [1.688 ft/s].",Noun,General Terms,https://glossary.slb.com/en/terms/k/knot
international nautical mile,A unit of distance used for marine and aerial navigation. An international nautical mile is approximately equivalent to the angle of one minute of latitude at Earth’s surface.,Noun,General Terms,https://glossary.slb.com/en/terms/i/international_nautical_mile
nautical mile,A unit of distance used for marine and aerial navigation. A nautical mile is approximately equivalent to the angle of one minute of latitude at Earth’s surface.,Noun,General Terms,https://glossary.slb.com/en/terms/n/nautical_mile
NACE,"NACE, or NACE International, is a worldwide professional organization committed to corrosion prevention and control. NACE, founded in 1943, is headquartered in Houston, Texas, USA. Areas of focus include oil and gas, water, transportation and infrastructure protection. The original name was National Association of Corrosion Engineers—the source of its NACE acronym—although the organization formally adopted NACE International—The Corrosion Society, in 1993.",Noun,General Terms,https://glossary.slb.com/en/terms/n/nace
pyrolysis,"A type of geochemical analysis in which a rock sample is subject to controlled heating in an inert gas to or past the point of generating hydrocarbons in order to assess its quality as a source rock, the abundance of organic material in it, its thermal maturity, and the quality of hydrocarbons it might generate or have generated. Pyrolysis breaks large hydrocarbon molecules into smaller molecules. This process is used to determine the quality of shale as a source rock and is instrumental in evaluating shale gas plays.",Noun,"Geology, Geochemistry, Shale Gas",https://glossary.slb.com/en/terms/p/pyrolysis
API,"Abbreviation for American Petroleum Institute, a trade association founded in 1919 with offices in Washington, DC, USA. The API is sponsored by the oil and gas industry and is recognized worldwide. Among its long-term endeavors is the development of standardized testing procedures for drilling equipment, drilling fluids and cements, called API Recommended Practices (""RPs""). The API licenses the use of its monogram (logo), monitors supplier quality assurance methods and sets minimum standards for materials used in drilling and completion operations, called API Specifications (""Specs""). The API works in conjunction with the International Organization of",Noun,General Terms,https://glossary.slb.com/en/terms/a/api
STP,"Abbreviation for standard temperature and pressure. Organizations establish a standard temperature and pressure to enable the comparison of datasets and to meet their members’ and stakeholders’ laboratory, industrial and regulatory requirements. For example, the International Union of Pure and Applied Chemistry (IUPAC) defines standard temperature to be 0°C [273.15°K, 32°F] and standard pressure to be 100 kPa [1 bar, 0.9869 atm, 14.504 psi] and the Society of Petroleum Engineers (SPE) defines standard temperature to be 15°C [288.15°K, 59°F] and standard pressure to be 100 kPa.",Noun,General Terms,https://glossary.slb.com/en/terms/s/stp
standard temperature and pressure,"Organizations establish a standard temperature and pressure to enable the comparison of datasets and to meet their members’ and stakeholders’ laboratory, industrial and regulatory requirements. For example, the International Union of Pure and Applied Chemistry (IUPAC) defines standard temperature to be 0°C [273.15°K, 32°F] and standard pressure to be 100 kPa [1 bar, 0.9869 atm, 14.504 psi] and the Society of Petroleum Engineers (SPE) defines standard temperature to be 15°C [288.15°K, 59°F] and standard pressure to be 100 kPa.",Noun,General Terms,https://glossary.slb.com/en/terms/s/standard_temperature_and_pressure
moment,The product of a physical quantity and its distance from an axis or a tendency to cause motion around an axis.,Noun,General Terms,https://glossary.slb.com/en/terms/m/moment
